MUNICIPIO REPORTE,Fecha,Casos_Dengue,Lluvia_mm,Poblacion
SOLANO,2021-05-01,0,574.9,24131
SOLANO,2021-06-01,0,329.53333333333336,24131
SOLANO,2021-07-01,0,350.5809523809524,24131
SOLANO,2021-08-01,0,254.1952380952381,24131
SOLANO,2021-09-01,0,310.2761904761905,24131
SOLANO,2021-10-01,0,327.45714285714286,24131
SOLANO,2021-11-01,2,284.43809523809523,24131
SOLANO,2021-12-01,4,225.6857142857143,24131
SOLANO,2022-01-01,3,286.76666666666665,24131
SOLANO,2022-02-01,3,358.5809523809524,24131
SOLANO,2022-03-01,1,312.3285714285714,24131
SOLANO,2022-04-01,3,361.1095238095238,24131
SOLANO,2022-05-01,7,396.45714285714286,24131
SOLANO,2022-06-01,10,295.8825396825397,24131
SOLANO,2022-07-01,6,302.54126984126987,24131
SOLANO,2022-08-01,1,257.96666666666664,24131
SOLANO,2022-09-01,5,264.26666666666665,24131
SOLANO,2022-10-01,15,138.76666666666668,24131
SOLANO,2022-11-01,12,147.16666666666666,24131
SOLANO,2022-12-01,7,118.63333333333333,24131
SOLANO,2023-01-01,18,183.63333333333333,24131
SOLANO,2023-02-01,33,200.76666666666665,24131
SOLANO,2023-03-01,51,257.76666666666665,24131
SOLANO,2023-04-01,31,332.0111111111111,24131
SOLANO,2023-05-01,23,377.9555555555556,24131
SOLANO,2023-06-01,8,270.6333333333333,24131
SOLANO,2023-07-01,5,361.5111111111111,24131
SOLANO,2023-08-01,6,251.58888888888887,24131
SOLANO,2023-09-01,5,234.4,24131
SOLANO,2023-10-01,3,215.29999999999998,24131
SOLANO,2023-11-01,19,266.76666666666665,24131
SOLANO,2023-12-01,11,461.23333333333335,24131
CURILLO,2018-01-01,0,233.71428571428572,11737
CURILLO,2018-02-01,0,72.45714285714287,11737
CURILLO,2018-03-01,0,325.6625,11737
CURILLO,2018-04-01,1,444.9555555555555,11737
CURILLO,2018-05-01,0,457.8333333333333,11737
CURILLO,2018-06-01,0,400.70000000000005,11737
CURILLO,2018-07-01,0,311.8666666666667,11737
CURILLO,2018-08-01,0,258.20000000000005,11737
CURILLO,2018-09-01,0,214.73333333333332,11737
CURILLO,2018-10-01,1,338.35555555555555,11737
CURILLO,2018-11-01,0,227.9777777777778,11737
CURILLO,2018-12-01,0,137.90740740740742,11737
CURILLO,2019-01-01,0,252.11481481481482,11737
CURILLO,2019-02-01,0,201.86666666666667,11737
CURILLO,2019-03-01,0,378.5111111111111,11737
CURILLO,2019-04-01,2,310.93333333333334,11737
CURILLO,2019-05-01,10,395.22222222222223,11737
CURILLO,2019-06-01,3,475.85555555555555,11737
CURILLO,2019-07-01,16,339.48055555555555,11737
CURILLO,2019-08-01,8,203.20555555555555,11737
CURILLO,2019-09-01,8,257.7972222222222,11737
CURILLO,2019-10-01,22,278.27777777777777,11737
CURILLO,2019-11-01,7,290.65555555555557,11737
CURILLO,2019-12-01,4,268.6333333333333,11737
CURILLO,2020-01-01,19,117.03333333333333,11737
CURILLO,2020-02-01,8,203.47037037037038,11737
CURILLO,2020-03-01,14,235.88518518518518,11737
CURILLO,2020-04-01,1,294.9,11737
CURILLO,2020-05-01,0,485.70000000000005,11737
CURILLO,2020-06-01,0,344.77777777777777,11737
CURILLO,2020-07-01,0,336.2888888888889,11737
CURILLO,2020-08-01,1,215.3,11737
CURILLO,2020-09-01,0,251.22222222222223,11737
CURILLO,2020-10-01,2,282.05555555555554,11737
CURILLO,2020-11-01,1,320.44444444444446,11737
CURILLO,2020-12-01,0,203.7111111111111,11737
CURILLO,2021-01-01,0,169.64444444444445,11737
CURILLO,2021-02-01,0,158.05555555555554,11737
CURILLO,2021-03-01,0,317.70000000000005,11737
CURILLO,2021-04-01,0,414.7555555555556,11737
CURILLO,2021-05-01,0,554.0333333333333,11737
CURILLO,2021-06-01,1,400.0888888888889,11737
CURILLO,2021-07-01,0,429.24920634920636,11737
CURILLO,2021-08-01,0,228.6761904761905,11737
CURILLO,2021-09-01,0,263.247619047619,11737
CURILLO,2021-10-01,0,275.4634920634921,11737
CURILLO,2021-11-01,1,218.59047619047618,11737
CURILLO,2021-12-01,1,149.12857142857143,11737
CURILLO,2022-01-01,0,184.94444444444446,11737
CURILLO,2022-02-01,0,264.715873015873,11737
CURILLO,2022-03-01,4,319.7650793650794,11737
CURILLO,2022-04-01,5,394.147619047619,11737
CURILLO,2022-05-01,2,425.1634920634921,11737
CURILLO,2022-06-01,2,356.79417989417993,11737
CURILLO,2022-07-01,19,325.7804232804233,11737
CURILLO,2022-08-01,6,288.6333333333333,11737
CURILLO,2022-09-01,0,258.5444444444445,11737
CURILLO,2022-10-01,3,249.30555555555554,11737
CURILLO,2022-11-01,2,174.3777777777778,11737
CURILLO,2022-12-01,6,98.90555555555555,11737
CURILLO,2023-01-01,7,192.02222222222224,11737
CURILLO,2023-02-01,3,196.8111111111111,11737
CURILLO,2023-03-01,4,316.4222222222222,11737
CURILLO,2023-04-01,3,363.85925925925926,11737
CURILLO,2023-05-01,2,410.4962962962963,11737
CURILLO,2023-06-01,0,381.0,11737
CURILLO,2023-07-01,3,348.8703703703703,11737
CURILLO,2023-08-01,0,201.3740740740741,11737
CURILLO,2023-09-01,1,215.93333333333334,11737
CURILLO,2023-10-01,0,181.89999999999998,11737
CURILLO,2023-11-01,1,253.0111111111111,11737
CURILLO,2023-12-01,1,331.65555555555557,11737
PUERTO RICO,2018-01-01,0,140.7,33447
PUERTO RICO,2018-02-01,0,15.6,33447
PUERTO RICO,2018-03-01,0,211.5,33447
PUERTO RICO,2018-04-01,0,549.5,33447
PUERTO RICO,2018-05-01,1,404.0,33447
